obesity_class,Methanobrevibacter,Methanosphaera,Acidobacteriaceae_unclassified,Actinomyces,Varibaculum,Rothia,Bifidobacterium,Gardnerella,Adlercreutzia,Atopobium,Collinsella,Coriobacteriaceae_noname,Eggerthella,Gordonibacter,Olsenella,Slackia,Bacteroides,Bacteroidales_noname,Barnesiella,Coprobacter,Odoribacter,Parabacteroides,Porphyromonas,Alloprevotella,Paraprevotella,Prevotella,Alistipes,Granulicatella,Enterococcus,Lactobacillus,Leuconostoc,Weissella,Lactococcus,Streptococcus,Clostridium,Anaerococcus,Parvimonas,Peptoniphilus,Clostridiales_noname,Flavonifractor,Pseudoflavonifractor,Eubacterium,Anaerostipes,Blautia,Butyrivibrio,Coprococcus,Dorea,Lachnospiraceae_noname,Roseburia,Oscillibacter,Peptostreptococcaceae_noname,Peptostreptococcus,Anaerotruncus,Faecalibacterium,Ruminococcaceae_noname,Ruminococcus,Subdoligranulum,Catenibacterium,Coprobacillus,Erysipelotrichaceae_noname,Holdemania,Solobacterium,Turicibacter,Acidaminococcaceae_unclassified,Acidaminococcus,Phascolarctobacterium,Dialister,Megasphaera,Mitsuokella,Veillonella,Fusobacterium,Leptotrichiaceae_unclassified,Burkholderiales_noname,Oxalobacter,Parasutterella,Sutterella,Sutterellaceae_unclassified,Neisseria,Bilophila,Desulfovibrio,Campylobacter,Helicobacter,Citrobacter,Enterobacter,Escherichia,Klebsiella,Providencia,Aggregatibacter,Haemophilus,Brachyspira,Treponema,Akkermansia,Entamoeba,Archaeoglobaceae_unclassified,Methanocaldococcaceae_unclassified,Granulicella,Tropheryma,Brevibacterium,Corynebacterium,Dermatophilaceae_unclassified,Propionibacteriaceae_unclassified,Propionibacterium,Alloscardovia,Parascardovia,Scardovia,Enterorhabdus,Desulfurobacteriaceae_unclassified,Marinilabiliaceae_unclassified,Butyricimonas,Dysgonomonas,Capnocytophaga,Cellulophaga,Riemerella,Pedobacter,Sphingobacterium,Candidatus_Saccharibacteria_noname,Candidatus_Saccharibacteria_noname_unclassified,Chlamydophila,Chlorobium,Mucispirillum,Deinococcus,Thermus,Alicyclobacillus,Gemella,Staphylococcus,Abiotrophia,Pediococcus,Butyricicoccus,Clostridiaceae_noname,Clostridiales_Family_XIII_Incertae_Sedis_unclassified,Clostridiales_Family_XI_Incertae_Sedis_noname,Finegoldia,Anaerofustis,Lachnoanaerobaculum,Marvinbryantia,Oribacterium,Stomatobaculum,Halobacteroidaceae_unclassified,Allobaculum,Bulleidia,Eggerthia,Anaeroglobus,Megamonas,Selenomonas,Asticcacaulis,Caulobacter,Bartonella,Bordetella,Burkholderia,Cupriavidus,Lautropia,Comamonas,Candidatus_Zinderia,Gallionellaceae_unclassified,Chromobacterium,Arcobacter,Succinatimonas,Pseudoalteromonadaceae_unclassified,Spiribacter,Enterobacteriaceae_noname,Hafnia,Pantoea,Proteus,Raoultella,Shigella,Yersinia,Hahellaceae_unclassified,Halomonas,Actinobacillus,Pasteurella,Acinetobacter,Pseudomonas,Sinobacteraceae_unclassified,Sphaerochaeta,Pyramidobacter,Synergistes,Candidatus_Phytoplasma,Spiroplasma,Aspergillaceae_unclassified,Penicillium,Naumovozyma,Saccharomyces,Saccharomycetaceae_unclassified,Schizosaccharomyces,Giardia
0,0.06228,0,0,0,0,0,0.97696,0,0.02091,0,0,0.04367,0.0519,0,0.00148,0,27.2546,0.57435,12.66136,0,1.0488,4.40506,0,0,0,0,18.37927,0,0,0,0,0,0,0.0076,1.41188,0,0,0,0.00094,0.01748,0.02517,7.33584,0.00469,1.46263,0.05626,0.26839,0.36061,4.53981,1.2984,0.60815,0,0,0.09916,1.79108,0.01129,1.88165,9.39446,0,0,0.00898,0.17224,0,0,0,0.09735,0,0.03199,0,0.0623,0,0,0,0,0.00178,0,0,0.26076,0,0.59135,0.02875,0,0,0,0,0,1.93474,0,0,0,0,0,0.56613,0,0,0,0.00531,0,0,0,0,0,0,0,0,0,0,0,0,0.00957,0,0,0.00872,0,0.07238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03176,0.00626,0,0.01837,0,0,0.01716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01799,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.10207,0,0,0,0,0.01755,0.85011,0,0,0,0.30328,0,0,0,0.01409,0,0.47941,0.3025,0.05683,0,0.08415,1.25743,0,0.00756,0.17599,12.0254,0.30494,0,0,0.71191,0,0,0,0.27101,0.0047,0,0,0,0,0,0,4.34027,0,1.33942,8.04173,8.95781,1.30433,0.89064,3.68606,0.2895,0,0,0.60001,10.67084,0.00982,17.6613,19.65805,1.65909,0,1.00771,0,0.00069,0,0,0,0.41195,0.00566,0,1.41404,0.05671,0,0,0,0.02031,0,0.09819,0.33295,0,0.0221,0.35754,0,0,0,0,0,0,0,0,0.06433,0,0,0,0,0,0.00968,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00062,0,0,0,0,0,0,0,0,0,0.01027,0,0.02689,0,0,0.00226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00642,0,0,0,0
0,0.26031,0.02336,0,0,0,0,0.70649,0,0,0,0.53418,0,0,0,0.04618,0,1.99992,0.02808,0.01311,0,0.42552,1.183,0,0.02354,3.17754,14.52735,0.23666,0,0,0.0974,0,0,0,0.03243,0.32326,0,0,0,3.12294,0,0.00157,7.42624,0.01717,1.65692,32.49065,0.69418,1.43953,0.16477,2.43066,0.20171,0.59948,0,0.54656,5.514,0.00584,3.87126,13.31407,0.17286,0,0.58144,0.00064,0,0.00433,0.0298,0,0,0.00378,0.15488,0.77947,0.00538,0,0,0,0.0388,0.0016,0,0.33906,0,0.00242,0.01844,0,0,0,0,0,0,0,0,0.23188,0,0,0.4459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399,0.00832,0.0026,0,0
1,0.00926,0,0,0,0,0,0.18414,0,0,0,0.21245,0,0,0,0.0136,0,4.37594,0.1627,0.07693,0.00788,0.31759,2.5219,0,0,1.04178,58.73609,3.88012,0.00514,0,0.01788,0,0,0,0.05796,0.29981,0,0,0,0,0.0027,0,4.13012,0.00937,1.14185,0.05993,0.479,0.39723,0.0283,3.6442,0.1149,0.03623,0,0.16253,8.41945,0.00348,0.54107,5.46835,0,0,0.18983,0.013,0,0.02824,0.02471,0,0,0.00713,0.10053,2.23906,0.05772,0,0,0.00302,0.00354,0.0031,0.58058,0,0,0.00125,0.03546,0,0,0,0,0.00595,0,0.03071,0,0,0,0,0.05595,0,0,0,0.00631,0.00345,0,0,0.01485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.09816,0.01372,0,0,0,0,0.59103,0,0.02761,0,0.2488,0,0,0,0.00866,0,18.15009,1.11722,1.2155,0.00642,0.63329,1.79666,0,0,0,0,7.2477,0,0,0.13022,0,0,0,0.00675,0.53482,0,0,0,0.00215,0.00122,0.04355,27.18681,0.00912,1.9626,3.66569,0.55178,0.55928,0.34811,1.38766,0.46435,0.13838,0,0.46699,6.84873,0.03856,4.17658,12.85287,0,0,0.01549,0.04845,0,0,0,0,0,5.91266,0,0.0872,0.08178,0,0,0.00227,0,0,0,0.02278,0,0.25454,0.27348,0,0,0,0.15393,0.06116,0.06908,0,0,0.30746,0,0,0.01103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00882,0,0,0.01775,0,0.069,0,0,0,0,0,0,0.01176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051,0,0,0,0,0.00459,0,0,0.01831,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.1012,0,0,0,0.05954,0,0,0,0.00346,0,6.74206,0.02051,0.38824,0,0.16358,3.18929,0,0,1.32983,65.42046,1.9546,0,0,0.06012,0,0,0,0.00363,0.82398,0,0,0,0,0,0,3.92019,0.01749,0.65485,0.05013,1.86357,0.25924,0.41051,1.06041,0.0361,0.0303,0,0.07035,4.49027,0.00066,0.04493,2.50168,0,0,0.00037,0.00889,0,0,0,0,3.41985,0,0,0.02322,0.02465,0,0,0,0,0.00348,0.44071,0,0,0.04239,0.07286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0.04448,0,0,0,0,0,0,0.01148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00374,0.17843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00224,0,0,0,0,0,0,0,0,0,0,0
0,0.07485,0,0,0,0,0,2.43443,0,0.04252,0,0.18004,0,0,0.03142,0.00481,0,25.75871,0.76159,1.6182,0,1.13364,3.81587,0,0,3.83596,0,3.64789,0,0,0.11103,0,0,0,0.84062,0.00877,0,0,0,0.82146,0,0.00203,16.15409,0.00463,2.66693,0.25953,0.4811,0.44781,0.18527,2.17775,0.15311,0.02849,0,0.67375,5.75701,0.0004,4.78533,6.80371,0,0,0,0.01575,0,0,0.02346,0,0,8.11619,0,0.25147,0.30572,0,0,0.0283,0,0.02296,0,0.03884,0,0.182,0.17231,0,0,0,0,0.0028,0,0,0.00342,0.32579,0,0,4.71673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034,0,0,0.03128,0,0.01674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00565,0,0,0,0,0.00271,0,0,0,0.00166,0,0,0,0,0,0,0
1,0.11284,0,0,0,0,0,0,0,0.0083,0,0.02518,0,0,0,0.00556,0,14.77438,0.67326,1.82206,0,2.38078,0.03674,0,0,6.39478,0.01237,13.73138,0,0,0,0,0.01335,0,0,1.67141,0,0,0,0,0,0.00655,13.9564,0.00367,3.64781,0.49348,0.77753,0.56951,0.18767,2.38469,0.35406,0.17019,0,0.52457,6.27663,0.00726,1.2205,13.19893,0,0,2.05555,0.01028,0,0,0.04182,0,0,11.79698,0,0.28254,0,0,0,0.01263,0,0.00118,0,0.01876,0,0.14525,0.00272,0,0,0,0,0.07658,0,0,0,0,0,0,0.00622,0,0,0,0.04446,0,0,0,0.01744,0,0,0,0,0.00598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.03486,0.04611,0,0.01084,0,0.36254,0,0.00426,0.00201,0.00319,0,37.70751,4.24937,0.06183,0,1.67437,0.11108,0,0.00385,0,0,2.12535,0,0,0,0,0,0.00323,0.11944,0.11217,0,0,0,0,0.00808,0.04708,6.44504,0.19619,1.59095,0.0369,0.60762,1.15523,0.31036,2.30626,0.17301,0.06246,0,0.2185,4.29154,0.0058,2.22517,10.57059,0,0,0.0076,0.03759,0,0,0.00359,0,0,14.87456,0,0.09571,0.15906,0,0,0.56451,0,0.75942,0,0,0,0,0,0,0,0,0,0.32822,0,0,0,0.05221,0,0,6.17625,0,0,0,0.00725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00334,0,0,0,0,0,0.04732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00057,0,0,0
0,0,0,0,0,0,0,0.80589,0,0,0,0.09174,0,0,0,0.00734,0,30.99662,0.44454,0.11109,0.00052,0.6175,8.03531,0,0,0,0,3.09483,0,0,0,0,0,0,0.04016,0.0012,0,0,0,0,0,0.00201,32.36339,0.00641,1.10004,0.13746,0.88873,0.473,0.13217,1.86137,0.15247,0.21761,0,0.31681,3.72329,0.0078,1.78881,10.83035,0,0,0.07498,0.04015,0,0,0.06993,0,0,0,0,0.27285,0.09147,0,0,0.52223,0,0.13368,0,0,0,0.08661,0.03125,0,0,0,0,0.0117,0,0,0,0.28914,0,0,0.003,0,0,0,0.01861,0,0,0,0,0,0,0,0,0,0,0,0,0.00061,0,0,0.02037,0,0.03845,0,0,0,0,0,0,0.02698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343,0,0,0,0,0,0,0
